<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
USDCHF,20041213,00:00:00,1.1629,1.1517,1.1631,1.1534
USDCHF,20041214,00:00:00,1.1535,1.1517,1.1586,1.1551
USDCHF,20041215,00:00:00,1.1552,1.1385,1.1574,1.1416
USDCHF,20041216,00:00:00,1.1416,1.1390,1.1618,1.1580
USDCHF,20041217,00:00:00,1.1579,1.1520,1.1617,1.1578
USDCHF,20041220,00:00:00,1.1542,1.1457,1.1572,1.1490
USDCHF,20041221,00:00:00,1.1490,1.1476,1.1540,1.1538
USDCHF,20041222,00:00:00,1.1538,1.1500,1.1559,1.1524
USDCHF,20041223,00:00:00,1.1524,1.1427,1.1533,1.1436
USDCHF,20041224,00:00:00,1.1436,1.1404,1.1455,1.1426
USDCHF,20041227,00:00:00,1.1429,1.1328,1.1448,1.1349
USDCHF,20041228,00:00:00,1.1348,1.1315,1.1373,1.1332
USDCHF,20041229,00:00:00,1.1333,1.1307,1.1385,1.1331
USDCHF,20041230,00:00:00,1.1331,1.1288,1.1381,1.1322
USDCHF,20041231,00:00:00,1.1323,1.1289,1.1434,1.1393
USDCHF,20050103,00:00:00,1.1392,1.1370,1.1553,1.1476
USDCHF,20050104,00:00:00,1.1478,1.1442,1.1709,1.1684
USDCHF,20050105,00:00:00,1.1685,1.1647,1.1756,1.1672
USDCHF,20050106,00:00:00,1.1671,1.1666,1.1776,1.1736
USDCHF,20050107,00:00:00,1.1740,1.1672,1.1885,1.1851
USDCHF,20050110,00:00:00,1.1847,1.1784,1.1852,1.1803
USDCHF,20050111,00:00:00,1.1800,1.1731,1.1837,1.1816
USDCHF,20050112,00:00:00,1.1818,1.1626,1.1840,1.1685
USDCHF,20050113,00:00:00,1.1684,1.1665,1.1739,1.1717
USDCHF,20050114,00:00:00,1.1718,1.1717,1.1867,1.1809
USDCHF,20050117,00:00:00,1.1798,1.1772,1.1845,1.1845
USDCHF,20050118,00:00:00,1.1845,1.1805,1.1903,1.1854
USDCHF,20050119,00:00:00,1.1853,1.1748,1.1897,1.1847
USDCHF,20050120,00:00:00,1.1847,1.1831,1.1921,1.1904
USDCHF,20050121,00:00:00,1.1903,1.1836,1.1966,1.1844
USDCHF,20050124,00:00:00,1.1855,1.1789,1.1868,1.1843
USDCHF,20050125,00:00:00,1.1843,1.1804,1.1970,1.1928
USDCHF,20050126,00:00:00,1.1928,1.1802,1.1938,1.1838
USDCHF,20050127,00:00:00,1.1838,1.1777,1.1881,1.1844
USDCHF,20050128,00:00:00,1.1844,1.1820,1.1919,1.1854
USDCHF,20050131,00:00:00,1.1900,1.1854,1.1941,1.1880
USDCHF,20050201,00:00:00,1.1880,1.1872,1.1953,1.1912
USDCHF,20050202,00:00:00,1.1910,1.1856,1.1960,1.1919
USDCHF,20050203,00:00:00,1.1920,1.1919,1.2048,1.2020
USDCHF,20050204,00:00:00,1.2022,1.1953,1.2115,1.2103
USDCHF,20050207,00:00:00,1.2119,1.2113,1.2259,1.2251
USDCHF,20050208,00:00:00,1.2251,1.2182,1.2251,1.2216
USDCHF,20050209,00:00:00,1.2217,1.2149,1.2234,1.2160
USDCHF,20050210,00:00:00,1.2161,1.2039,1.2239,1.2082
USDCHF,20050211,00:00:00,1.2082,1.2060,1.2116,1.2102
USDCHF,20050214,00:00:00,1.2089,1.1962,1.2091,1.1983
USDCHF,20050215,00:00:00,1.1983,1.1877,1.1997,1.1896
USDCHF,20050216,00:00:00,1.1894,1.1831,1.1944,1.1875
USDCHF,20050217,00:00:00,1.1875,1.1808,1.1894,1.1831
USDCHF,20050218,00:00:00,1.1831,1.1819,1.1893,1.1829
USDCHF,20050221,00:00:00,1.1842,1.1805,1.1858,1.1828
USDCHF,20050222,00:00:00,1.1828,1.1571,1.1837,1.1588
USDCHF,20050223,00:00:00,1.1588,1.1578,1.1666,1.1641
USDCHF,20050224,00:00:00,1.1642,1.1592,1.1717,1.1694
USDCHF,20050225,00:00:00,1.1694,1.1621,1.1738,1.1623
USDCHF,20050228,00:00:00,1.1624,1.1575,1.1640,1.1640
USDCHF,20050301,00:00:00,1.1640,1.1606,1.1684,1.1655
USDCHF,20050302,00:00:00,1.1654,1.1651,1.1775,1.1732
USDCHF,20050303,00:00:00,1.1732,1.1730,1.1824,1.1809
USDCHF,20050304,00:00:00,1.1810,1.1664,1.1827,1.1689
USDCHF,20050307,00:00:00,1.1693,1.1682,1.1776,1.1741
USDCHF,20050308,00:00:00,1.1741,1.1582,1.1754,1.1608
USDCHF,20050309,00:00:00,1.1609,1.1553,1.1645,1.1582
USDCHF,20050310,00:00:00,1.1582,1.1513,1.1605,1.1533
USDCHF,20050311,00:00:00,1.1532,1.1487,1.1566,1.1507
USDCHF,20050314,00:00:00,1.1496,1.1482,1.1637,1.1595
USDCHF,20050315,00:00:00,1.1596,1.1559,1.1670,1.1652
